2017-12-18 01:44:30 com.log4j.zuoye.Aaaaa.main(Aaaaa.java:23) 登录成功 
2017-12-18 01:44:30 com.log4j.zuoye.Aaaaa.main(Aaaaa.java:24) 用户名long 
2017-12-18 01:44:30 com.log4j.zuoye.Aaaaa.main(Aaaaa.java:25) 密码123 
2017-12-18 01:48:08 com.log4j.zuoye.Aaaaa.main(Aaaaa.java:27) 登录失败 
2017-12-18 01:48:08 com.log4j.zuoye.Aaaaa.main(Aaaaa.java:28) 用户名123 
2017-12-18 01:48:08 com.log4j.zuoye.Aaaaa.main(Aaaaa.java:29) 密码12 
2017-12-18 01:48:15 com.log4j.zuoye.Aaaaa.main(Aaaaa.java:27) 登录失败 
2017-12-18 01:48:15 com.log4j.zuoye.Aaaaa.main(Aaaaa.java:28) 用户名123 
2017-12-18 01:48:15 com.log4j.zuoye.Aaaaa.main(Aaaaa.java:29) 密码123 
2017-12-18 01:49:30 com.log4j.zuoye.Aaaaa.main(Aaaaa.java:28) 登录信息====================== 
2017-12-18 01:49:30 com.log4j.zuoye.Aaaaa.main(Aaaaa.java:29) 登录失败 
2017-12-18 01:49:30 com.log4j.zuoye.Aaaaa.main(Aaaaa.java:30) 用户名123 
2017-12-18 01:49:30 com.log4j.zuoye.Aaaaa.main(Aaaaa.java:31) 密码123 
2017-12-18 01:50:43 com.log4j.zuoye.Aaaaa.main(Aaaaa.java:28) 登录信息====================== 
2017-12-18 01:50:43 com.log4j.zuoye.Aaaaa.main(Aaaaa.java:29) 登录失败 
2017-12-18 01:50:43 com.log4j.zuoye.Aaaaa.main(Aaaaa.java:30) 用户名123 
2017-12-18 01:50:43 com.log4j.zuoye.Aaaaa.main(Aaaaa.java:31) 密码123 
2017-12-18 13:51:59 com.log4j.zuoye.Aaaaa.main(Aaaaa.java:28) 登录信息====================== 
2017-12-18 13:51:59 com.log4j.zuoye.Aaaaa.main(Aaaaa.java:29) 登录失败 
2017-12-18 13:51:59 com.log4j.zuoye.Aaaaa.main(Aaaaa.java:30) 用户名123 
2017-12-18 13:51:59 com.log4j.zuoye.Aaaaa.main(Aaaaa.java:31) 密码123 
